variables,units,values,description
xf.cd_interp,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.34107454]
   [0.34107454]
   [0.34107454]]

  [[0.34099257]
   [0.34099257]
   [0.34099257]]

  [[0.34077377]
   [0.34077377]
   [0.34077377]]

  ...

  [[0.34077377]
   [0.34077377]
   [0.34077377]]

  [[0.34099257]
   [0.34099257]
   [0.34099257]]

  [[0.34107454]
   [0.34107454]
   [0.34107454]]]


 ...


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
xf.cm_interp,,"[[[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-9.53503502e-05]
   [-9.53503502e-05]
   [-9.53503502e-05]]

  [[ 2.28515046e-03]
   [ 2.28515046e-03]
   [ 2.28515046e-03]]

  [[ 4.79052624e-03]
   [ 4.79052624e-03]
   [ 4.79052624e-03]]

  ...

  [[-6.20100346e-03]
   [-6.20100346e-03]
   [-6.20100346e-03]]

  [[-3.07016846e-03]
   [-3.07016846e-03]
   [-3.07016846e-03]]

  [[-9.53503502e-05]
   [-9.53503502e-05]
   [-9.53503502e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
sse_tune.v_min,m/s,[3.],cut-in wind speed
sse_tune.v_max,m/s,[25.],cut-out wind speed
sse_tune.r,m,"[  3.97         5.95304923   7.93609846   9.91914769  11.90219692
  13.88524616  15.86829539  17.85134462  19.83439385  21.81744308
  23.80049231  25.78354154  27.76659077  29.74964     31.73268924
  33.71573847  35.6987877   37.68183693  39.66488616  41.64793539
  43.63098462  45.61403385  47.59708308  49.58013231  51.56318155
  53.54623078  55.52928001  57.51232924  59.49537847  61.4784277
  63.46147693  65.44452616  67.42757539  69.41062463  71.39367386
  73.37672309  75.35977232  77.34282155  79.32587078  81.30892001
  83.29196924  85.27501847  87.25806771  89.24111694  91.22416617
  93.2072154   95.19026463  97.17331386  99.15636309 101.13941232
 103.12246155 105.10551078 107.08856002 109.07160925 111.05465848
 113.03770771 115.02075694 117.00380617 118.9868554  120.96990463]",radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
sse_tune.chord,m,"[5.2        5.20701699 5.2273448  5.2645819  5.31686971 5.38021425
 5.45060219 5.52363631 5.5930242  5.65826801 5.7119531  5.7485929
 5.76428706 5.75877358 5.72417705 5.65836505 5.56728908 5.45475975
 5.33039234 5.20106014 5.07625831 4.95889358 4.8503724  4.75647194
 4.66227001 4.56795341 4.47381738 4.38063204 4.28891954 4.1987208
 4.11053752 4.02457193 3.94094631 3.85973524 3.78054746 3.7030804
 3.62646162 3.5503916  3.4744709  3.39823946 3.32151093 3.2439285
 3.1670841  3.09095054 3.01493287 2.93870256 2.86164021 2.78379189
 2.70411421 2.62229481 2.53814907 2.45191348 2.3638715  2.27406241
 2.1825558  2.08941229 1.99454001 1.89854951 1.79579662 0.5       ]",chord length at each section
sse_tune.theta,deg,"[15.59455302 15.59158458 15.47828575 15.19032785 14.73076012 14.12899702
 13.41366913 12.60382191 11.76293385 10.90559236 10.06213239  9.27558377
  8.57953978  7.97544081  7.42877868  6.89862105  6.37303862  5.86252471
  5.37588395  4.91669355  4.48908979  4.09247889  3.7279134   3.40594762
  3.1011781   2.81234028  2.53824867  2.2809701   2.03749382  1.80498165
  1.58122953  1.36627867  1.16234312  0.97157024  0.79219654  0.62282381
  0.45718289  0.29309318  0.12828732 -0.04134382 -0.22202844 -0.41915266
 -0.64760003 -0.90713973 -1.17418365 -1.43694326 -1.67639762 -1.89321796
 -2.06086601 -2.14476541 -2.17178787 -2.16984174 -2.14666964 -2.10162464
 -2.03458242 -1.94452069 -1.8213051  -1.65591254 -1.46308488 -1.24238771]",twist angle at each section (positive decreases angle of attack)
sse_tune.Rhub,m,[3.97],hub radius
sse_tune.Rtip,m,[120.96990463],tip radius
sse_tune.hub_height,m,[150.],hub height
sse_tune.precone,deg,[4.],precone angle
sse_tune.tilt,deg,[6.],shaft tilt
sse_tune.yaw,deg,[0.],yaw error
sse_tune.precurve,m,"[ 0.          0.01519259  0.03402686  0.05645409  0.08170322  0.10872057
  0.13642986  0.16341886  0.18835148  0.21130283  0.22985797  0.24261902
  0.24864905  0.25014347  0.2497677   0.24857416  0.24679927  0.24444342
  0.24148409  0.23795604  0.23421214  0.22962992  0.22321792  0.2093045
  0.18821191  0.15870249  0.12037985  0.07564992  0.02569598 -0.02791175
 -0.08316059 -0.1406276  -0.20385986 -0.2771539  -0.36043871 -0.45472739
 -0.55547498 -0.66179843 -0.77233419 -0.88551667 -1.00052719 -1.11617343
 -1.23774956 -1.36533782 -1.49829999 -1.63627722 -1.77928442 -1.92541893
 -2.07543906 -2.22878762 -2.38519949 -2.54577386 -2.71135531 -2.88183115
 -3.05712696 -3.23686188 -3.42150742 -3.61128212 -3.80410546 -4.        ]",precurve at each section
sse_tune.precurveTip,m,[-4.],precurve at tip
sse_tune.presweep,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",presweep at each section
sse_tune.presweepTip,m,[0.],presweep at tip
sse_tune.rho,kg/m**3,[1.225],density of air
sse_tune.mu,kg/m/s,[1.81e-05],dynamic viscosity of air
sse_tune.aeroperf_tables.shearExp,,[0.],shear exponent
sse_tune.airfoils_cl,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 9.53503502e-05]
   [ 9.53503502e-05]
   [ 9.53503502e-05]]

  [[ 8.80793803e-03]
   [ 8.80793803e-03]
   [ 8.80793803e-03]]

  [[ 1.76953776e-02]
   [ 1.76953776e-02]
   [ 1.76953776e-02]]

  ...

  [[-1.74977249e-02]
   [-1.74977249e-02]
   [-1.74977249e-02]]

  [[-8.61378112e-03]
   [-8.61378112e-03]
   [-8.61378112e-03]]

  [[ 9.53503502e-05]
   [ 9.53503502e-05]
   [ 9.53503502e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]]","lift coefficients, spanwise"
sse_tune.airfoils_cd,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.34107454]
   [0.34107454]
   [0.34107454]]

  [[0.34099257]
   [0.34099257]
   [0.34099257]]

  [[0.34077377]
   [0.34077377]
   [0.34077377]]

  ...

  [[0.34077377]
   [0.34077377]
   [0.34077377]]

  [[0.34099257]
   [0.34099257]
   [0.34099257]]

  [[0.34107454]
   [0.34107454]
   [0.34107454]]]


 ...


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]]","drag coefficients, spanwise"
sse_tune.airfoils_cm,,"[[[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-9.53503502e-05]
   [-9.53503502e-05]
   [-9.53503502e-05]]

  [[ 2.28515046e-03]
   [ 2.28515046e-03]
   [ 2.28515046e-03]]

  [[ 4.79052624e-03]
   [ 4.79052624e-03]
   [ 4.79052624e-03]]

  ...

  [[-6.20100346e-03]
   [-6.20100346e-03]
   [-6.20100346e-03]]

  [[-3.07016846e-03]
   [-3.07016846e-03]
   [-3.07016846e-03]]

  [[-9.53503502e-05]
   [-9.53503502e-05]
   [-9.53503502e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]","moment coefficients, spanwise"
sse_tune.airfoils_aoa,deg,"[-180.         -177.         -174.         -171.         -168.
 -165.         -162.         -159.         -156.         -153.
 -150.         -147.         -144.         -141.         -138.
 -135.         -132.         -129.         -126.         -123.
 -120.         -117.         -114.         -111.         -108.
 -105.         -102.          -99.          -96.          -93.
  -90.          -87.          -84.          -81.          -78.
  -75.          -72.          -69.          -66.          -63.
  -60.          -57.          -54.          -51.          -48.
  -45.          -42.          -39.          -36.          -33.
  -30.          -29.39393939  -28.78787879  -28.18181818  -27.57575758
  -26.96969697  -26.36363636  -25.75757576  -25.15151515  -24.54545455
  -23.93939394  -23.33333333  -22.72727273  -22.12121212  -21.51515152
  -20.90909091  -20.3030303   -19.6969697   -19.09090909  -18.48484848
  -17.87878788  -17.27272727  -16.66666667  -16.06060606  -15.45454545
  -14.84848485  -14.24242424  -13.63636364  -13.03030303  -12.42424242
  -11.81818182  -11.21212121  -10.60606061  -10.           -9.39393939
   -8.78787879   -8.18181818   -7.57575758   -6.96969697   -6.36363636
   -5.75757576   -5.15151515   -4.54545455   -3.93939394   -3.33333333
   -2.72727273   -2.12121212   -1.51515152   -0.90909091   -0.3030303
    0.3030303     0.90909091    1.51515152    2.12121212    2.72727273
    3.33333333    3.93939394    4.54545455    5.15151515    5.75757576
    6.36363636    6.96969697    7.57575758    8.18181818    8.78787879
    9.39393939   10.           10.60606061   11.21212121   11.81818182
   12.42424242   13.03030303   13.63636364   14.24242424   14.84848485
   15.45454545   16.06060606   16.66666667   17.27272727   17.87878788
   18.48484848   19.09090909   19.6969697    20.3030303    20.90909091
   21.51515152   22.12121212   22.72727273   23.33333333   23.93939394
   24.54545455   25.15151515   25.75757576   26.36363636   26.96969697
   27.57575758   28.18181818   28.78787879   29.39393939   30.
   33.           36.           39.           42.           45.
   48.           51.           54.           57.           60.
   63.           66.           69.           72.           75.
   78.           81.           84.           87.           90.
   93.           96.           99.          102.          105.
  108.          111.          114.          117.          120.
  123.          126.          129.          132.          135.
  138.          141.          144.          147.          150.
  153.          156.          159.          162.          165.
  168.          171.          174.          177.          180.        ]",angle of attack grid for polars
sse_tune.airfoils_Re,,[ 3000000.  8100000. 10000000.],Reynolds numbers of polars
sse_tune.aeroperf_tables.pitch_vector_in,deg,[0. 0. 0. 0. 0.],pitch vector specified by the user
sse_tune.aeroperf_tables.tsr_vector_in,,[0. 0. 0. 0. 0.],tsr vector specified by the user
sse_tune.aeroperf_tables.U_vector_in,m/s,[0.],wind vector specified by the user
sse_tune.nBlades,Unavailable,3,number of blades
sse_tune.aeroperf_tables.nSector,Unavailable,4,number of sectors to divide rotor face into in computing thrust and power
sse_tune.aeroperf_tables.tiploss,Unavailable,True,include Prandtl tip loss model
sse_tune.aeroperf_tables.hubloss,Unavailable,True,include Prandtl hub loss model
sse_tune.aeroperf_tables.wakerotation,Unavailable,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
sse_tune.aeroperf_tables.usecd,Unavailable,True,use drag coefficient in computing induction factors
sse_tune.tune_rosco.rotor_inertia,kg*m**2,[3.55564282e+08],Rotor inertia
sse_tune.tune_rosco.R,m,[120.96990463],Rotor Radius
sse_tune.tune_rosco.gear_ratio,,[1.],Gearbox Ratio
sse_tune.tune_rosco.rated_rotor_speed,rad/s,[0.78531929],Rated rotor speed
sse_tune.rated_power,W,[15000000.],Rated power
sse_tune.tune_rosco.rated_torque,N*m,[19947019.10067833],rotor aerodynamic torque at rated
sse_tune.tune_rosco.v_rated,m/s,[10.6532522],Rated wind speed
sse_tune.tune_rosco.max_pitch_rate,rad/s,[0.03490659],Maximum allowed blade pitch rate
sse_tune.tune_rosco.max_torque_rate,N*m/s,[1500000.],Maximum allowed generator torque rate
sse_tune.tsr_operational,,[9.],Operational tip-speed ratio
sse_tune.omega_min,rad/s,[0.52359878],Minimum rotor speed
sse_tune.tune_rosco.flap_freq,Hz,[0.53716235],Blade flapwise first natural frequency
sse_tune.tune_rosco.edge_freq,Hz,[0.79403662],Blade edgewise first natural frequency
sse_tune.tune_rosco.gearbox_efficiency,,[1.],Gearbox efficiency
sse_tune.tune_rosco.generator_efficiency,,[0.95756219],Generator efficiency
sse_tune.tune_rosco.TowerHt,m,[129.386],Tower height
sse_tune.tune_rosco.max_pitch,rad,[1.57],
sse_tune.tune_rosco.min_pitch,rad,[0.],
sse_tune.tune_rosco.vs_minspd,rad/s,[0.52359878],
sse_tune.tune_rosco.ss_vsgain,,[1.],
sse_tune.tune_rosco.ss_pcgain,,[0.001],
sse_tune.tune_rosco.ps_percent,,[0.8],
sse_tune.tune_rosco.Cp_table,,"[[[ 0.00745658]
  [ 0.02832926]
  [ 0.0491737 ]
  [ 0.05971069]
  [ 0.04384128]]

 [[ 0.15404672]
  [ 0.24167147]
  [ 0.15966364]
  [ 0.0198387 ]
  [-0.15023913]]

 [[ 0.44274253]
  [ 0.37226082]
  [ 0.11882275]
  [-0.27953822]
  [-0.59165349]]

 [[ 0.3802666 ]
  [ 0.42466095]
  [-0.03849949]
  [-0.84877873]
  [-1.3547313 ]]

 [[ 0.20362267]
  [ 0.42808463]
  [-0.32245075]
  [-1.71598437]
  [-2.59161298]]]",table of aero power coefficient
sse_tune.tune_rosco.Ct_table,,"[[[ 0.06911976]
  [ 0.07013688]
  [ 0.07442479]
  [ 0.07354447]
  [ 0.05124243]]

 [[ 0.27245107]
  [ 0.29933871]
  [ 0.18449102]
  [ 0.03075942]
  [-0.1256252 ]]

 [[ 0.72661191]
  [ 0.48600851]
  [ 0.14815817]
  [-0.22783747]
  [-0.42107328]]

 [[ 1.05963136]
  [ 0.61088911]
  [ 0.00595574]
  [-0.62971327]
  [-0.79142595]]

 [[ 1.38156503]
  [ 0.70209672]
  [-0.22106678]
  [-1.13352984]
  [-1.26475785]]]",table of aero thrust coefficient
sse_tune.tune_rosco.Cq_table,,"[[[ 0.00374605]
  [ 0.01423213]
  [ 0.02470401]
  [ 0.02999761]
  [ 0.02202509]]

 [[ 0.03439573]
  [ 0.05396068]
  [ 0.03564988]
  [ 0.00442961]
  [-0.03354556]]

 [[ 0.06355032]
  [ 0.05343353]
  [ 0.01705556]
  [-0.04012432]
  [-0.08492468]]

 [[ 0.0402188 ]
  [ 0.04491416]
  [-0.00407189]
  [-0.08977087]
  [-0.14328282]]

 [[ 0.01704941]
  [ 0.03584371]
  [-0.02699894]
  [-0.1436801 ]
  [-0.21699686]]]",table of aero torque coefficient
sse_tune.tune_rosco.pitch_vector,rad,[-0.08726646  0.06544985  0.21816616  0.37088247  0.52359878],Pitch vector used
sse_tune.tune_rosco.tsr_vector,,[ 2.   4.5  7.   9.5 12. ],TSR vector used
sse_tune.tune_rosco.U_vector,m/s,[3.],Wind speed vector used
